question_text,explanation,category,difficulty,rating_type,answer_1,answer_1_correct,answer_2,answer_2_correct,answer_3,answer_3_correct,answer_4,answer_4_correct
"What transponder code should you squawk if you lose radio communications?","Squawk 7600 to indicate loss of radio communications. ATC will recognize this and provide visual signals or other assistance.","Regulations","EASY","PRIVATE","7600","true","7500","false","7700","false","1200","false"
"What is the standard traffic pattern altitude at an uncontrolled airport?","Unless otherwise specified, the standard traffic pattern altitude is 1,000 feet AGL for propeller-driven aircraft.","Regulations","EASY","PRIVATE","1,000 feet AGL","true","800 feet AGL","false","1,500 feet AGL","false","500 feet AGL","false"
"What document must a pilot have in their possession during flight?","Pilots must carry a valid pilot certificate, photo ID, and current medical certificate (PRIA - Pilot certificate, Radio station license if international, ID, Aircraft documents).","Regulations","EASY","PRIVATE","Pilot certificate and valid photo ID","true","Only passport","false","Only driver's license","false","Birth certificate","false"
"What is the minimum safe altitude over a congested area?","FAR 91.119 requires 1,000 feet above the highest obstacle within 2,000 feet horizontally when flying over congested areas.","Regulations","MEDIUM","PRIVATE","1,000 feet above the highest obstacle within 2,000 feet","true","500 feet above the highest obstacle","false","2,000 feet AGL","false","500 feet AGL","false"
"When is a mode C transponder required?","Mode C is required in Class A, B, and C airspace, within 30nm of Class B primary airports, and above 10,000 feet MSL.","Regulations","MEDIUM","PRIVATE","In Class A, B, C airspace and above 10,000 feet MSL","true","Only in Class A airspace","false","Only during IFR flight","false","Only at night","false"
"What is the effect of an aft center of gravity on aircraft stability?","An aft CG reduces longitudinal stability, requiring less back pressure to maintain level flight but making the aircraft less stable and more prone to stalls.","Aerodynamics","MEDIUM","PRIVATE","Decreased stability, nose-up tendency","true","Increased stability","false","No effect on handling","false","Only affects fuel consumption","false"
"What type of fog forms when warm, moist air moves over a cold surface?","Advection fog forms when warm, moist air moves over a colder surface. Common along coastlines and can persist for days.","Weather","MEDIUM","PRIVATE","Advection fog","true","Radiation fog","false","Upslope fog","false","Steam fog","false"
"What does a convective SIGMET indicate?","Convective SIGMETs warn of severe thunderstorms with surface winds ≥50 knots, hail ≥3/4 inch, or tornadoes.","Weather","MEDIUM","INSTRUMENT","Severe thunderstorms or tornadoes","true","Light turbulence","false","Fog and low visibility","false","Icing conditions only","false"
"What is the primary purpose of a VASI?","The Visual Approach Slope Indicator provides vertical guidance during approach, showing if you're on, above, or below the proper glidepath.","Navigation","EASY","PRIVATE","Visual glidepath guidance during approach","true","Runway lighting","false","Taxiway guidance","false","Wind direction indication","false"
"At what altitude does Class A airspace begin?","Class A airspace extends from 18,000 feet MSL to FL600. IFR flight is mandatory in Class A.","Regulations","EASY","INSTRUMENT","18,000 feet MSL","true","14,500 feet MSL","false","10,000 feet MSL","false","12,500 feet MSL","false"
